number,parameter_01,parameter_02(x_coordinate),parameter_03(y_coordinate),parameter_04,parameter_05,parameter_06,parameter_07,parameter_08,parameter_09,parameter_10,parameter_11,parameter_12,parameter_13,parameter_14,parameter_15,parameter_16,class(OK/NG)
4974.0,L,11640.0,9042.0,2280.0,0.0,0.0,1080.0,15.66,3.0217,150.0,50.0,143.61,47.53,0.0,0.0614,0.304,OK
4975.0,L,1672.0,9040.0,1980.0,0.0,0.0,800.0,13.07,1.4279,58.0,86.0,81.79,57.28,0.0,0.0368,0.397,OK
4976.0,L,330.0,9038.0,1224.0,0.0,0.0,556.0,16.37,2.3194,68.0,46.0,74.48,32.11,0.0,0.063,0.3913,OK
4977.0,D&L,12086.0,9016.0,3156.0,500.0,19.3,888.0,19.05,1.1439,90.0,90.0,93.52,81.76,0.0847,0.0716,0.3896,OK
4978.0,L,9650.0,9006.0,1740.0,0.0,0.0,692.0,13.27,1.9173,94.0,62.0,98.89,51.58,0.0,0.0366,0.2986,OK
4979.0,L,9186.0,8998.0,2768.0,40.0,17.02,968.0,15.36,1.5148,74.0,106.0,105.71,69.79,0.0462,0.0383,0.3529,OK
4980.0,L,11416.0,8994.0,1776.0,0.0,0.0,796.0,15.02,2.0732,92.0,60.0,93.9,45.29,0.0,0.056,0.3217,OK
4981.0,L,1156.0,8990.0,5720.0,0.0,0.0,1996.0,16.26,2.4452,172.0,138.0,216.46,88.52,0.0,0.0501,0.241,OK
4982.0,L,10164.0,8970.0,3120.0,0.0,0.0,1228.0,16.75,1.0769,92.0,70.0,75.13,69.77,0.0,0.0511,0.4845,OK
4983.0,L,9390.0,8970.0,1432.0,0.0,0.0,656.0,16.21,1.2955,62.0,72.0,72.19,55.72,0.0,0.0411,0.3208,OK
4984.0,L,9286.0,8964.0,4004.0,40.0,18.59,1300.0,13.68,1.6944,74.0,124.0,122.0,72.0,0.0509,0.0344,0.4364,OK
4985.0,L,9490.0,8962.0,5140.0,0.0,0.0,1952.0,16.29,1.5484,102.0,110.0,124.79,80.59,0.0,0.0428,0.4581,OK
4986.0,L,8756.0,8952.0,1736.0,0.0,0.0,860.0,13.3,1.5667,96.0,62.0,94.0,60.0,0.0,0.031,0.2917,OK
4987.0,L,506.0,8950.0,3460.0,0.0,0.0,1456.0,14.74,1.9532,104.0,96.0,113.95,58.34,0.0,0.0542,0.3466,OK
4988.0,L,2524.0,8948.0,1296.0,124.0,16.5,484.0,15.54,2.1818,74.0,50.0,80.28,36.79,0.041,0.0358,0.3503,OK
4989.0,D,11816.0,8936.0,1464.0,996.0,25.41,0.0,0.0,1.6337,70.0,46.0,68.41,41.88,0.1203,0.0,0.4547,OK
4990.0,D,1758.0,8914.0,920.0,480.0,14.07,0.0,0.0,2.1579,60.0,32.0,59.66,27.65,0.0434,0.0,0.4792,OK
4991.0,L,8962.0,8906.0,5468.0,0.0,0.0,1916.0,14.31,1.7428,106.0,178.0,176.97,101.54,0.0,0.0344,0.2898,OK
4992.0,D&L,11952.0,8888.0,4092.0,800.0,16.55,924.0,16.88,1.9517,114.0,110.0,136.95,70.17,0.0755,0.0668,0.3263,OK
4993.0,D,386.0,8888.0,1100.0,528.0,14.3,0.0,0.0,1.0485,52.0,46.0,47.36,45.17,0.0636,0.0,0.4599,OK
4994.0,D,2122.0,8874.0,1000.0,504.0,17.09,0.0,0.0,3.5017,82.0,40.0,85.42,24.39,0.045,0.0,0.3049,OK
4995.0,L,11114.0,8858.0,1004.0,0.0,0.0,472.0,14.44,2.475,56.0,40.0,64.88,26.22,0.0,0.051,0.4482,OK
4996.0,L,11870.0,8852.0,2212.0,0.0,0.0,844.0,17.87,1.7921,82.0,48.0,79.13,44.16,0.0,0.0705,0.562,OK
4997.0,D,10256.0,8852.0,1144.0,464.0,13.57,0.0,0.0,1.1175,54.0,56.0,54.38,48.66,0.0469,0.0,0.3783,OK
4998.0,L,11440.0,8848.0,964.0,44.0,17.7,412.0,17.52,1.4432,36.0,44.0,44.35,30.73,0.0746,0.0643,0.6086,OK
4999.0,D,10572.0,8836.0,4096.0,1604.0,16.43,80.0,21.9,1.244,122.0,128.0,135.36,108.81,0.0596,0.0697,0.2623,OK
5000.0,D&L,12074.0,8822.0,8392.0,1116.0,16.39,2268.0,20.43,1.3309,128.0,170.0,167.78,126.06,0.0716,0.0769,0.3857,OK
5001.0,L,206.0,8822.0,2248.0,280.0,13.76,756.0,18.17,2.6366,114.0,46.0,110.86,42.05,0.063,0.0726,0.4287,OK
5002.0,L,2164.0,8804.0,996.0,0.0,0.0,468.0,13.8,2.3795,68.0,38.0,68.5,28.79,0.0,0.033,0.3854,OK
5003.0,L,1378.0,8794.0,1284.0,0.0,0.0,580.0,15.43,1.8556,72.0,62.0,78.45,42.28,0.0,0.0447,0.2876,OK
5004.0,L,1200.0,8794.0,1284.0,0.0,0.0,536.0,12.88,2.3854,66.0,30.0,65.07,27.28,0.0,0.0399,0.6485,OK
5005.0,L,2706.0,8778.0,1984.0,0.0,0.0,952.0,15.89,1.2657,78.0,82.0,75.54,59.68,0.0,0.0354,0.3102,OK
5006.0,L,814.0,8772.0,1184.0,0.0,0.0,620.0,16.24,2.0488,80.0,38.0,75.13,36.67,0.0,0.0562,0.3895,OK
5007.0,L,1628.0,8756.0,1636.0,0.0,0.0,664.0,14.22,2.7371,96.0,38.0,96.15,35.13,0.0,0.0405,0.4485,OK
5008.0,L,970.0,8754.0,1556.0,0.0,0.0,836.0,15.03,1.6765,90.0,58.0,84.68,50.51,0.0,0.0492,0.2981,OK
5009.0,L,9074.0,8738.0,1916.0,0.0,0.0,676.0,17.57,1.018,70.0,74.0,69.0,67.78,0.0,0.0422,0.3699,OK
5010.0,L,1936.0,8728.0,2880.0,48.0,14.36,1176.0,15.68,1.0703,114.0,80.0,83.2,77.73,0.0394,0.0398,0.3158,OK
5011.0,L,12016.0,8724.0,1228.0,0.0,0.0,604.0,14.18,2.0,66.0,34.0,64.0,32.0,0.0,0.0558,0.5472,OK
5012.0,L,9850.0,8718.0,1844.0,0.0,0.0,752.0,12.67,1.352,76.0,68.0,79.57,58.85,0.0,0.0355,0.3568,OK
5013.0,L,10176.0,8710.0,2472.0,44.0,16.1,892.0,14.5,1.7546,86.0,52.0,85.47,48.71,0.0537,0.0438,0.5528,OK
5014.0,L,1484.0,8708.0,3752.0,0.0,0.0,1336.0,13.68,1.3668,110.0,68.0,92.05,67.35,0.0,0.0387,0.5016,OK
5015.0,D,850.0,8708.0,1404.0,672.0,16.85,0.0,0.0,2.8118,104.0,48.0,101.34,36.04,0.065,0.0,0.2813,OK
5016.0,L,10386.0,8706.0,4308.0,0.0,0.0,1688.0,16.11,1.4767,150.0,148.0,158.09,107.06,0.0,0.0493,0.1941,OK
5017.0,L,9282.0,8702.0,1080.0,0.0,0.0,372.0,15.67,1.0909,50.0,46.0,48.0,44.0,0.0,0.0386,0.4696,OK
5018.0,L,11874.0,8686.0,2936.0,0.0,0.0,1200.0,15.19,1.2354,86.0,68.0,82.46,66.75,0.0,0.0599,0.5021,OK
5019.0,L,720.0,8676.0,1056.0,0.0,0.0,564.0,15.34,5.342,112.0,24.0,110.46,20.68,0.0,0.0546,0.3929,OK
5020.0,L,9514.0,8670.0,1844.0,0.0,0.0,924.0,15.66,1.1139,74.0,60.0,64.39,57.8,0.0,0.0406,0.4153,OK
5021.0,L,1460.0,8670.0,1224.0,0.0,0.0,616.0,14.75,1.9474,76.0,40.0,74.0,38.0,0.0,0.0419,0.4026,OK
5022.0,L,9614.0,8668.0,2328.0,0.0,0.0,1268.0,15.6,2.6595,132.0,50.0,128.45,48.3,0.0,0.0419,0.3527,OK
5023.0,L,10612.0,8664.0,3752.0,88.0,18.44,1432.0,15.51,1.1553,140.0,118.0,122.49,106.03,0.0671,0.0502,0.2271,OK
5024.0,L,1082.0,8662.0,1136.0,0.0,0.0,492.0,13.77,3.125,82.0,34.0,82.2,26.3,0.0,0.0444,0.4075,OK
5025.0,L,250.0,8650.0,1744.0,0.0,0.0,568.0,14.95,1.3573,76.0,52.0,70.39,51.86,0.0,0.0592,0.4413,OK
5026.0,D&L,10816.0,8610.0,3316.0,440.0,16.77,876.0,17.19,1.8063,150.0,86.0,145.83,80.73,0.0646,0.0586,0.2571,OK
5027.0,L,514.0,8602.0,1212.0,0.0,0.0,536.0,14.82,1.2,52.0,62.0,60.0,50.0,0.0,0.0553,0.3759,OK
5028.0,L,1450.0,8590.0,1348.0,48.0,17.04,588.0,16.91,1.2981,60.0,60.0,65.48,50.45,0.0541,0.0484,0.3744,OK
5029.0,D,1554.0,8588.0,928.0,508.0,16.36,0.0,0.0,1.5353,56.0,42.0,54.85,35.73,0.0521,0.0,0.3946,OK
5030.0,L,11096.0,8586.0,1264.0,60.0,17.43,528.0,15.51,2.1988,102.0,64.0,107.86,49.05,0.0696,0.0548,0.1936,OK
5031.0,L,2714.0,8584.0,1256.0,0.0,0.0,504.0,15.78,3.2907,88.0,32.0,87.28,26.52,0.0,0.0355,0.446,OK
5032.0,D,1106.0,8580.0,3028.0,896.0,17.08,176.0,17.03,2.2824,126.0,62.0,125.46,54.97,0.0612,0.0544,0.3876,OK
5033.0,L,220.0,8576.0,1836.0,0.0,0.0,840.0,17.59,1.1218,66.0,62.0,64.99,57.94,0.0,0.0704,0.4487,OK
5034.0,L,9840.0,8566.0,2224.0,0.0,0.0,848.0,15.4,2.6591,110.0,50.0,111.86,42.07,0.0,0.0431,0.4044,OK
5035.0,L,11866.0,8560.0,4080.0,0.0,0.0,1528.0,14.91,1.1509,96.0,110.0,107.78,93.65,0.0,0.0588,0.3864,OK
5036.0,L,914.0,8554.0,1964.0,0.0,0.0,728.0,15.13,1.56,80.0,52.0,78.0,50.0,0.0,0.051,0.4721,OK
5037.0,D,2456.0,8546.0,1056.0,440.0,16.61,68.0,18.31,1.3034,46.0,56.0,54.47,41.79,0.0428,0.0433,0.4099,OK
5038.0,L,12018.0,8544.0,1660.0,0.0,0.0,752.0,15.85,1.8438,62.0,104.0,102.63,55.66,0.0,0.0628,0.2574,OK
5039.0,L,12126.0,8536.0,7272.0,0.0,0.0,3240.0,17.72,3.743,70.0,256.0,252.01,67.33,0.0,0.0663,0.4058,OK
5040.0,L,320.0,8530.0,1264.0,0.0,0.0,608.0,17.98,1.5,68.0,46.0,66.0,44.0,0.0,0.0705,0.4041,OK
5041.0,D,2222.0,8528.0,1188.0,388.0,17.03,196.0,16.35,2.4765,76.0,32.0,73.43,29.65,0.0446,0.0393,0.4885,OK
5042.0,D,9712.0,8522.0,1268.0,532.0,18.04,0.0,0.0,1.4444,54.0,38.0,52.0,36.0,0.054,0.0,0.6179,OK
5043.0,L,8950.0,8520.0,1544.0,44.0,17.31,544.0,15.71,3.2744,114.0,40.0,111.13,33.94,0.044,0.0369,0.3386,OK
5044.0,L,2980.0,8512.0,1536.0,0.0,0.0,736.0,14.55,2.0125,70.0,112.0,111.07,55.19,0.0,0.0315,0.1959,OK
5045.0,D,1756.0,8512.0,1184.0,556.0,16.8,0.0,0.0,2.2143,64.0,30.0,62.0,28.0,0.053,0.0,0.6167,OK
5046.0,L,10206.0,8504.0,980.0,0.0,0.0,356.0,14.91,2.0,54.0,38.0,59.03,29.52,0.0,0.0452,0.4776,OK
5047.0,D,12078.0,8496.0,1696.0,836.0,16.6,0.0,0.0,1.1029,52.0,52.0,52.16,47.29,0.0734,0.0,0.6272,OK
5048.0,L,8456.0,8496.0,3692.0,0.0,0.0,1284.0,13.89,1.0048,104.0,100.0,93.45,93.01,0.0,0.031,0.355,OK
5049.0,D&L,9194.0,8466.0,8944.0,596.0,19.28,3156.0,17.1,1.1706,180.0,176.0,181.55,155.09,0.0514,0.0416,0.2823,OK
5050.0,0.0,9816.0,8458.0,948.0,320.0,14.45,0.0,0.0,1.5926,58.0,52.0,60.81,38.18,0.0442,0.0,0.3143,OK
5051.0,L,8350.0,8458.0,1592.0,0.0,0.0,620.0,12.39,1.3841,62.0,68.0,69.5,50.21,0.0,0.0271,0.3776,OK
5052.0,L,2714.0,8458.0,2536.0,0.0,0.0,932.0,16.48,1.4198,76.0,58.0,76.2,53.67,0.0,0.0372,0.5753,OK
5053.0,L,104.0,8430.0,1156.0,0.0,0.0,520.0,19.05,1.75,46.0,44.0,55.09,31.48,0.0,0.0789,0.5711,OK
5054.0,D,2196.0,8424.0,1788.0,1000.0,15.96,0.0,0.0,1.4377,92.0,62.0,81.58,56.74,0.0424,0.0,0.3135,OK
5055.0,D,12066.0,8414.0,2744.0,1324.0,16.79,0.0,0.0,1.3488,68.0,64.0,70.23,52.06,0.0754,0.0,0.6305,OK
5056.0,D,9458.0,8404.0,1488.0,764.0,14.71,0.0,0.0,1.7865,64.0,54.0,63.6,35.6,0.0406,0.0,0.4306,OK
5057.0,L,1192.0,8400.0,2296.0,40.0,16.62,1012.0,16.75,2.0113,136.0,66.0,125.17,62.23,0.0578,0.0522,0.2558,OK
5058.0,D,1734.0,8398.0,1508.0,604.0,15.31,0.0,0.0,1.6728,68.0,40.0,64.24,38.4,0.0487,0.0,0.5544,OK
5059.0,L,378.0,8392.0,1560.0,0.0,0.0,556.0,16.83,2.0,78.0,40.0,76.0,38.0,0.0,0.065,0.5,OK
5060.0,L,508.0,8388.0,1572.0,0.0,0.0,604.0,14.64,1.8947,72.0,40.0,70.6,37.26,0.0,0.0546,0.5458,OK
5061.0,L,11546.0,8376.0,1816.0,0.0,0.0,888.0,17.54,2.7,110.0,42.0,108.0,40.0,0.0,0.0673,0.3931,OK
5062.0,L,980.0,8352.0,1216.0,0.0,0.0,476.0,15.37,1.4923,46.0,46.0,53.3,35.71,0.0,0.0512,0.5747,OK
5063.0,D,9410.0,8344.0,1272.0,404.0,13.6,92.0,18.29,2.2407,86.0,42.0,84.55,37.74,0.0371,0.0459,0.3522,OK
5064.0,D,10252.0,8326.0,972.0,444.0,16.41,0.0,0.0,1.6012,72.0,50.0,64.99,40.59,0.0554,0.0,0.27,OK
5065.0,L,10410.0,8322.0,5456.0,64.0,15.33,1776.0,16.96,1.8506,136.0,108.0,144.0,77.82,0.0518,0.0517,0.3715,OK
5066.0,L,2986.0,8320.0,1452.0,0.0,0.0,628.0,14.66,1.5983,72.0,44.0,63.33,39.62,0.0,0.0319,0.4583,OK
5067.0,L,1970.0,8306.0,1576.0,192.0,16.03,540.0,14.29,1.1293,72.0,64.0,69.8,61.81,0.0448,0.0368,0.342,OK
5068.0,L,186.0,8302.0,3300.0,0.0,0.0,1348.0,14.43,1.2282,78.0,118.0,101.11,82.33,0.0,0.0581,0.3585,OK
5069.0,D,1112.0,8294.0,1152.0,456.0,16.74,0.0,0.0,1.825,64.0,38.0,61.94,33.94,0.0605,0.0,0.4737,OK
5070.0,L,11754.0,8292.0,1252.0,48.0,16.91,500.0,16.02,2.6875,88.0,34.0,86.0,32.0,0.0777,0.0639,0.4184,OK
5071.0,L,2038.0,8248.0,1364.0,0.0,0.0,608.0,15.91,2.0,78.0,40.0,76.0,38.0,0.0,0.04,0.4372,OK
5072.0,L,1676.0,8248.0,1248.0,0.0,0.0,484.0,14.71,1.6,58.0,38.0,52.94,33.09,0.0,0.0427,0.5662,OK
5073.0,L,8950.0,8240.0,956.0,0.0,0.0,416.0,14.5,1.8296,60.0,50.0,64.87,35.45,0.0,0.0336,0.3187,OK
5074.0,L,1408.0,8238.0,3092.0,152.0,18.34,1036.0,16.56,2.2585,98.0,98.0,128.75,57.01,0.0596,0.0484,0.3219,OK
5075.0,L,2168.0,8234.0,1376.0,0.0,0.0,444.0,14.16,1.5,74.0,50.0,72.0,48.0,0.0,0.0347,0.3719,OK
5076.0,L,1804.0,8232.0,1740.0,0.0,0.0,744.0,14.88,1.5696,72.0,72.0,78.42,49.96,0.0,0.0418,0.3356,OK
5077.0,L,636.0,8218.0,1604.0,0.0,0.0,672.0,15.56,2.7222,100.0,38.0,98.0,36.0,0.0,0.0566,0.4221,OK
5078.0,L,92.0,8210.0,1248.0,0.0,0.0,576.0,16.92,1.6797,84.0,58.0,79.85,47.54,0.0,0.0698,0.2562,OK
5079.0,L,1156.0,8208.0,1968.0,0.0,0.0,876.0,15.35,1.2964,80.0,82.0,86.59,66.79,0.0,0.0489,0.3,OK
5080.0,L,12134.0,8202.0,4644.0,0.0,0.0,1884.0,17.65,2.6034,68.0,172.0,169.85,65.24,0.0,0.068,0.3971,OK
5081.0,L,3002.0,8200.0,1064.0,0.0,0.0,468.0,13.38,1.0,54.0,54.0,52.0,52.0,0.0,0.0291,0.3649,OK
5082.0,L,508.0,8198.0,2540.0,0.0,0.0,1148.0,16.3,1.2281,104.0,82.0,83.24,67.78,0.0,0.0606,0.2978,OK
5083.0,L,10548.0,8196.0,3624.0,0.0,0.0,1888.0,16.94,2.2617,110.0,60.0,110.8,48.99,0.0,0.0528,0.5491,OK
5084.0,L,9170.0,8196.0,4868.0,0.0,0.0,1672.0,14.77,2.6393,188.0,82.0,193.1,73.16,0.0,0.0354,0.3158,OK
5085.0,D,12088.0,8184.0,1080.0,508.0,14.48,0.0,0.0,1.0526,40.0,42.0,40.0,38.0,0.0656,0.0,0.6429,OK
5086.0,L,3850.0,8178.0,1396.0,0.0,0.0,512.0,13.65,2.0519,84.0,46.0,76.1,37.09,0.0,0.0286,0.3613,OK
5087.0,L,9668.0,8156.0,1004.0,0.0,0.0,556.0,14.02,2.9641,76.0,28.0,75.45,25.46,0.0,0.0372,0.4718,OK
5088.0,L,11310.0,8152.0,1232.0,0.0,0.0,524.0,14.27,3.0357,82.0,34.0,82.46,27.16,0.0,0.0524,0.4419,OK
5089.0,L,9392.0,8144.0,4144.0,0.0,0.0,1568.0,14.19,1.2022,118.0,92.0,101.79,84.66,0.0,0.035,0.3817,OK
5090.0,L,1360.0,8132.0,1464.0,92.0,21.23,692.0,17.73,3.6667,134.0,38.0,132.0,36.0,0.0705,0.0521,0.2875,OK
5091.0,L,11858.0,8130.0,2456.0,60.0,14.94,936.0,15.97,1.807,88.0,82.0,100.53,55.64,0.0694,0.0649,0.3404,OK
5092.0,D,162.0,8120.0,1744.0,780.0,14.24,0.0,0.0,1.9303,74.0,52.0,77.96,40.39,0.0675,0.0,0.4532,OK
5093.0,D,432.0,8118.0,1032.0,564.0,16.19,0.0,0.0,4.0,98.0,26.0,96.0,24.0,0.0708,0.0,0.405,OK
5094.0,D,10582.0,8114.0,1204.0,432.0,14.34,60.0,21.78,2.4434,60.0,40.0,68.7,28.12,0.0504,0.0679,0.5017,OK
5095.0,L,9514.0,8112.0,1240.0,0.0,0.0,676.0,16.68,1.004,66.0,54.0,57.35,57.12,0.0,0.0422,0.3479,OK
5096.0,D,12068.0,8104.0,924.0,444.0,16.28,0.0,0.0,2.0,50.0,26.0,48.0,24.0,0.075,0.0,0.7108,OK
5097.0,L,1122.0,8102.0,1304.0,0.0,0.0,628.0,16.32,2.453,88.0,44.0,88.69,36.15,0.0,0.0525,0.3368,OK
5098.0,L,606.0,8100.0,964.0,0.0,0.0,608.0,16.46,2.8862,86.0,36.0,87.76,30.41,0.0,0.0604,0.3114,OK
5099.0,L,9198.0,8096.0,1148.0,0.0,0.0,408.0,15.84,1.1579,46.0,40.0,44.0,38.0,0.0,0.0376,0.6239,OK
5100.0,L,10720.0,8058.0,3876.0,0.0,0.0,1204.0,17.08,1.9903,112.0,62.0,111.36,55.95,0.0,0.0559,0.5582,OK
5101.0,L,2718.0,8052.0,1624.0,0.0,0.0,656.0,15.04,1.4514,72.0,70.0,77.62,53.48,0.0,0.0341,0.3222,OK
5102.0,D,9842.0,8046.0,1548.0,868.0,14.58,0.0,0.0,4.0667,124.0,32.0,122.0,30.0,0.0444,0.0,0.3901,OK
5103.0,L,12018.0,8040.0,1024.0,0.0,0.0,424.0,16.67,1.7067,46.0,58.0,60.92,35.69,0.0,0.0685,0.3838,OK
5104.0,L,168.0,8024.0,1532.0,0.0,0.0,840.0,15.96,1.8838,100.0,54.0,97.25,51.62,0.0,0.0643,0.2837,OK
5105.0,L,430.0,8016.0,912.0,0.0,0.0,496.0,15.82,2.8596,88.0,38.0,82.46,28.83,0.0,0.0592,0.2727,OK
5106.0,L,2976.0,8012.0,904.0,0.0,0.0,432.0,13.49,2.3704,72.0,38.0,75.31,31.77,0.0,0.0294,0.3304,OK
5107.0,L,8326.0,8006.0,984.0,0.0,0.0,492.0,12.73,2.6511,78.0,34.0,76.54,28.87,0.0,0.0277,0.371,OK
5108.0,L,8018.0,7994.0,1032.0,0.0,0.0,460.0,12.13,1.381,44.0,60.0,58.0,42.0,0.0,0.0261,0.3909,OK
5109.0,L,10400.0,7992.0,1504.0,0.0,0.0,548.0,14.09,2.7297,76.0,34.0,75.17,27.54,0.0,0.0419,0.582,OK
5110.0,L,11758.0,7990.0,2276.0,0.0,0.0,880.0,15.9,1.433,82.0,72.0,87.91,61.35,0.0,0.0641,0.3855,OK
5111.0,D,10288.0,7990.0,1040.0,456.0,14.48,0.0,0.0,1.35,56.0,42.0,54.0,40.0,0.0484,0.0,0.4422,OK
5112.0,L,10788.0,7986.0,1340.0,0.0,0.0,500.0,15.04,2.1644,68.0,42.0,68.06,31.45,0.0,0.0493,0.4692,OK
5113.0,L,10568.0,7986.0,1168.0,0.0,0.0,412.0,14.02,2.3333,66.0,36.0,69.99,30.0,0.0,0.0432,0.4916,OK
5114.0,D,2006.0,7980.0,1020.0,432.0,17.64,0.0,0.0,1.0295,46.0,58.0,50.26,48.81,0.049,0.0,0.3823,OK
5115.0,0.0,10094.0,7970.0,904.0,76.0,15.96,292.0,16.44,1.175,42.0,40.0,40.78,34.71,0.0504,0.0471,0.5381,OK
5116.0,L,11400.0,7968.0,1004.0,0.0,0.0,416.0,14.63,2.0115,72.0,42.0,72.57,36.08,0.0,0.0547,0.332,OK
5117.0,L,20.0,7958.0,2504.0,0.0,0.0,1060.0,14.42,1.504,104.0,62.0,94.44,62.8,0.0,0.0595,0.3883,OK
5118.0,L,11200.0,7940.0,2012.0,72.0,20.31,836.0,15.94,2.9884,122.0,58.0,126.64,42.38,0.0848,0.0578,0.2843,OK
5119.0,L,1826.0,7936.0,1756.0,0.0,0.0,736.0,15.93,1.4991,68.0,50.0,66.56,44.4,0.0,0.0439,0.5165,OK
5120.0,L,9878.0,7930.0,940.0,0.0,0.0,492.0,13.88,1.4485,52.0,56.0,59.06,40.77,0.0,0.0378,0.3228,OK
5121.0,L,1180.0,7928.0,2772.0,0.0,0.0,1268.0,15.99,1.9914,102.0,68.0,110.56,55.52,0.0,0.0505,0.3997,OK
5122.0,L,10464.0,7926.0,2064.0,68.0,12.98,896.0,15.59,3.0,156.0,68.0,149.54,49.85,0.0431,0.0473,0.1946,OK
5123.0,L,11118.0,7924.0,1232.0,0.0,0.0,592.0,13.98,1.0839,78.0,68.0,72.57,66.95,0.0,0.0493,0.2323,OK
5124.0,L,2048.0,7920.0,1720.0,0.0,0.0,684.0,13.64,1.8196,102.0,60.0,101.54,55.8,0.0,0.034,0.281,OK
5125.0,D&L,10206.0,7908.0,2548.0,480.0,16.65,396.0,17.84,1.5685,102.0,62.0,95.46,60.86,0.0551,0.053,0.4029,OK
5126.0,L,11514.0,7892.0,992.0,0.0,0.0,456.0,13.33,1.9753,70.0,40.0,70.68,35.78,0.0,0.0513,0.3543,OK
5127.0,L,12130.0,7882.0,8352.0,0.0,0.0,3540.0,18.89,3.5946,72.0,252.0,250.75,69.76,0.0,0.0742,0.4603,OK
5128.0,L,10720.0,7880.0,1852.0,0.0,0.0,824.0,15.47,1.6489,88.0,60.0,88.07,53.41,0.0,0.0503,0.3508,OK
5129.0,D,2428.0,7880.0,992.0,520.0,16.33,0.0,0.0,1.099,62.0,74.0,63.37,57.66,0.0421,0.0,0.2162,OK
5130.0,L,172.0,7874.0,1260.0,0.0,0.0,572.0,16.77,2.903,90.0,38.0,90.25,31.09,0.0,0.0679,0.3684,OK
5131.0,L,1626.0,7850.0,3556.0,0.0,0.0,1348.0,15.54,2.6449,110.0,136.0,158.25,59.83,0.0,0.0449,0.2377,OK
5132.0,L,9848.0,7842.0,3644.0,0.0,0.0,1452.0,14.73,2.7778,152.0,56.0,150.0,54.0,0.0,0.0402,0.4281,OK
5133.0,L,1158.0,7842.0,3264.0,0.0,0.0,1260.0,16.35,1.5795,98.0,86.0,103.25,65.36,0.0,0.0518,0.3873,OK
5134.0,L,10358.0,7836.0,2124.0,0.0,0.0,748.0,14.58,1.1776,90.0,88.0,82.93,70.42,0.0,0.0434,0.2682,OK
5135.0,L,9514.0,7826.0,2104.0,0.0,0.0,912.0,15.73,1.0703,56.0,62.0,58.57,54.72,0.0,0.0392,0.606,OK
5136.0,D,10672.0,7812.0,2472.0,932.0,16.78,76.0,17.54,1.8041,90.0,52.0,88.6,49.11,0.0607,0.0565,0.5282,OK
5137.0,L,1956.0,7812.0,4608.0,0.0,0.0,1988.0,14.29,1.9388,82.0,150.0,149.1,76.9,0.0,0.0367,0.3746,OK
5138.0,L,10536.0,7806.0,1636.0,0.0,0.0,652.0,17.95,1.4064,66.0,76.0,67.59,48.06,0.0,0.0548,0.3262,OK
5139.0,L,9406.0,7800.0,1328.0,0.0,0.0,592.0,15.66,2.0179,48.0,88.0,86.36,42.8,0.0,0.038,0.3144,OK
5140.0,L,8776.0,7778.0,1084.0,0.0,0.0,412.0,12.65,1.4947,60.0,44.0,53.43,35.75,0.0,0.0283,0.4106,OK
5141.0,L,1442.0,7778.0,3600.0,0.0,0.0,1712.0,16.13,2.0203,128.0,154.0,169.9,84.1,0.0,0.0461,0.1826,OK
5142.0,L,386.0,7748.0,1972.0,0.0,0.0,892.0,16.22,3.0255,130.0,46.0,129.1,42.67,0.0,0.0609,0.3298,OK
5143.0,L,2994.0,7744.0,1628.0,0.0,0.0,596.0,14.48,1.1579,66.0,60.0,62.23,53.74,0.0,0.0316,0.4111,OK
5144.0,D,12082.0,7740.0,2484.0,804.0,15.42,152.0,19.34,1.1495,74.0,80.0,79.5,69.17,0.0717,0.0774,0.4196,OK
5145.0,L,9616.0,7740.0,1368.0,0.0,0.0,712.0,14.39,1.7339,82.0,60.0,84.11,48.51,0.0,0.0373,0.278,OK
5146.0,L,9916.0,7736.0,1552.0,0.0,0.0,552.0,15.89,1.9541,88.0,48.0,84.45,43.22,0.0,0.0437,0.3674,OK
5147.0,L,10518.0,7724.0,1816.0,0.0,0.0,696.0,15.91,1.4842,74.0,48.0,68.4,46.08,0.0,0.0483,0.5113,OK
5148.0,L,9166.0,7724.0,1536.0,0.0,0.0,832.0,13.52,1.6442,96.0,72.0,100.82,61.32,0.0,0.0317,0.2222,OK
5149.0,L,8906.0,7720.0,3588.0,0.0,0.0,1524.0,14.51,1.8148,140.0,88.0,143.74,79.2,0.0,0.0331,0.2912,OK
5150.0,D,1530.0,7712.0,1412.0,520.0,14.43,0.0,0.0,1.9138,66.0,40.0,66.27,34.63,0.0456,0.0,0.5348,OK
5151.0,L,8748.0,7692.0,3472.0,0.0,0.0,1176.0,13.69,2.5263,150.0,74.0,153.95,60.94,0.0,0.0306,0.3128,OK
5152.0,D,114.0,7690.0,2852.0,1520.0,15.85,0.0,0.0,2.5319,102.0,90.0,129.07,50.98,0.0752,0.0,0.3107,OK
5153.0,D,2006.0,7688.0,1956.0,856.0,15.7,44.0,18.3,1.0178,70.0,68.0,67.57,66.39,0.0433,0.0461,0.4109,OK
5154.0,D&L,1890.0,7688.0,3812.0,340.0,18.49,976.0,19.02,1.2372,116.0,94.0,113.4,91.65,0.0532,0.0494,0.3496,OK
5155.0,L,2982.0,7684.0,1384.0,0.0,0.0,624.0,13.15,1.5199,66.0,46.0,65.4,43.03,0.0,0.0287,0.4559,OK
