number,parameter_01,parameter_02(x_coordinate),parameter_03(y_coordinate),parameter_04,parameter_05,parameter_06,parameter_07,parameter_08,parameter_09,parameter_10,parameter_11,parameter_12,parameter_13,parameter_14,parameter_15,parameter_16,class(OK/NG)
185.0,L,9068.0,18222.0,940.0,0.0,0.0,476.0,13.21,2.891,60.0,60.0,77.74,26.89,0.0,0.0555,0.2611,OK
186.0,L,90.0,14798.0,1416.0,0.0,0.0,740.0,13.34,2.5556,76.0,36.0,78.1,30.56,0.0,0.055,0.5175,OK
187.0,D,2350.0,14396.0,1516.0,724.0,11.7,0.0,0.0,1.1434,60.0,70.0,66.13,57.84,0.0504,0.0,0.361,OK
188.0,L,8808.0,14380.0,1856.0,0.0,0.0,1044.0,9.38,3.3369,140.0,44.0,137.67,41.26,0.0,0.036,0.3013,OK
189.0,D,1970.0,14372.0,1252.0,716.0,10.72,0.0,0.0,2.1674,76.0,60.0,92.57,42.71,0.0492,0.0,0.2746,OK
190.0,L,9218.0,14358.0,2656.0,0.0,0.0,1300.0,13.4,1.4778,54.0,78.0,74.41,50.35,0.0,0.0614,0.6306,OK
191.0,D,2206.0,14344.0,2820.0,1288.0,10.42,0.0,0.0,1.5,74.0,110.0,108.0,72.0,0.0467,0.0,0.3464,OK
192.0,L,8784.0,14316.0,1456.0,0.0,0.0,744.0,7.58,1.7321,106.0,64.0,104.99,60.61,0.0,0.0287,0.2146,OK
193.0,L,8850.0,14302.0,920.0,0.0,0.0,368.0,6.68,1.095,48.0,36.0,39.8,36.35,0.0,0.0255,0.5324,OK
194.0,L,8684.0,14278.0,1912.0,0.0,0.0,872.0,8.64,2.619,112.0,44.0,110.0,42.0,0.0,0.033,0.388,OK
195.0,L,8982.0,14246.0,8360.0,0.0,0.0,4076.0,10.07,1.5483,148.0,116.0,149.72,96.7,0.0,0.0411,0.487,OK
196.0,L,9238.0,14196.0,912.0,0.0,0.0,440.0,12.91,1.2778,38.0,48.0,46.0,36.0,0.0,0.0575,0.5,OK
197.0,L,1936.0,14036.0,1312.0,0.0,0.0,704.0,10.34,1.375,68.0,50.0,66.0,48.0,0.0,0.0357,0.3859,OK
198.0,L,94.0,14014.0,1604.0,0.0,0.0,808.0,12.29,1.4478,68.0,46.0,64.52,44.57,0.0,0.0543,0.5128,OK
199.0,D,9128.0,13952.0,1744.0,740.0,9.66,0.0,0.0,3.6397,42.0,140.0,137.9,37.89,0.0497,0.0,0.2966,OK
200.0,D,8628.0,13952.0,2804.0,1344.0,11.46,0.0,0.0,4.1633,168.0,94.0,178.93,42.98,0.053,0.0,0.1776,OK
201.0,D,8880.0,13924.0,1436.0,600.0,10.73,0.0,0.0,1.7619,76.0,44.0,74.0,42.0,0.0503,0.0,0.4294,OK
202.0,L,9230.0,13250.0,1040.0,0.0,0.0,476.0,11.9,3.0,28.0,80.0,78.0,26.0,0.0,0.0448,0.4643,OK
203.0,L,9224.0,12596.0,988.0,0.0,0.0,484.0,12.74,2.7727,38.0,62.0,67.03,24.18,0.0,0.0464,0.4194,OK
204.0,L,108.0,11556.0,1204.0,0.0,0.0,560.0,12.2,1.5417,50.0,76.0,74.0,48.0,0.0,0.0439,0.3168,OK
205.0,L,120.0,11160.0,908.0,0.0,0.0,464.0,12.06,1.0,42.0,42.0,40.0,40.0,0.0,0.0426,0.5147,OK
206.0,L,118.0,10660.0,932.0,0.0,0.0,400.0,12.96,1.0,44.0,44.0,42.0,42.0,0.0,0.046,0.4814,OK
207.0,D,696.0,10544.0,940.0,616.0,11.94,0.0,0.0,1.1667,44.0,38.0,42.0,36.0,0.0508,0.0,0.5622,OK
208.0,L,9236.0,10522.0,936.0,0.0,0.0,420.0,12.03,1.702,28.0,44.0,42.69,25.08,0.0,0.0456,0.7597,OK
